img,last_position,peak_position,rank,singer,title,weaks_on_charts
https://charts-static.billboard.com/img/2017/06/oliver-tree-8zt-180x180.jpg,125,125,125,Oliver Tree & Robin Schulz,Miss You,1
https://charts-static.billboard.com/img/2008/05/coldplay-bm3-viva-la-vida-oj6-180x180.jpg,126,114,126,Coldplay,Viva La Vida,8
https://charts-static.billboard.com/img/2009/10/paloma-faith-sdo-180x180.jpg,127,75,127,Paloma Faith,Only Love Can Hurt Like This,22
https://charts-static.billboard.com/img/2022/07/beachweather-mo0-180x180.jpg,128,128,128,Beach Weather,"Sex, Drugs, Etc.",6
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,129,67,129,Luar La L,Caile,9
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,130,24,130,Polima WestCoast Featuring Pailita,Ultra Solo,24
https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg,131,96,131,OneRepublic,Counting Stars,85
https://charts-static.billboard.com/img/2020/04/fujiikaze-cfu-180x180.jpg,132,118,132,Fujii Kaze,Shinunoga E-Wa,5
https://charts-static.billboard.com/img/2022/02/becky-g-gw8-mamiii-azv-180x180.jpg,133,4,133,Becky G X Karol G,MAMIII,35
https://charts-static.billboard.com/img/2022/10/rauwalejandro-rbn-punto40-7il-180x180.jpg,134,134,134,Rauw Alejandro & Baby Rasta,Punto 40,1
https://charts-static.billboard.com/img/2016/12/elley-duhe-w03-106x106.jpg,135,25,135,Elley Duhe,Middle Of The Night,39
https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg,136,16,136,Tones And I,Dance Monkey,110
https://charts-static.billboard.com/img/2015/06/the-weeknd-xmx-the-hills-1cr-180x180.jpg,137,44,137,The Weeknd,The Hills,39
https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg,138,1,138,BTS,Dynamite,110
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,139,102,139,Dedubluman Featuring Mavzer Tabancas,Belki,2
https://charts-static.billboard.com/img/2021/01/morgan-wallen-nlu-wasted-on-you-jwj-180x180.jpg,140,19,140,Morgan Wallen,Wasted On You,38
https://charts-static.billboard.com/img/2021/06/bts-hm9-butter-45t-180x180.jpg,141,1,141,BTS,Butter,73
https://charts-static.billboard.com/img/2011/04/nirvana-ug8-smells-like-teen-spirit-is8-180x180.jpg,142,92,142,Nirvana,Smells Like Teen Spirit,91
https://charts-static.billboard.com/img/2022/10/lil-yachty-ecx-poland-4vc-180x180.jpg,143,143,143,Lil Yachty,Poland,1
https://charts-static.billboard.com/img/2016/12/steve-lacy-d2o-180x180.jpg,144,132,144,Steve Lacy,Dark Red,31
https://charts-static.billboard.com/img/2014/05/hozier-hdg-106x106.jpg,145,123,145,Hozier,Take Me To Church,86
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,146,140,146,Seafret,Atlantis,7
https://charts-static.billboard.com/img/2014/10/tears-for-fears-19d-everybody-wants-to-rule-the-world-v61-180x180.jpg,147,108,147,Tears For Fears,Everybody Wants To Rule The World,19
https://charts-static.billboard.com/img/2022/08/newjeans-9dv-180x180.jpg,148,54,148,NewJeans,Attention,10
https://charts-static.billboard.com/img/2021/09/lost-frequencies-e88-where-are-you-now-vlq-180x180.jpg,149,22,149,Lost Frequencies & Calum Scott,Where Are You Now,57
https://charts-static.billboard.com/img/2005/02/queen-m21-180x180.jpg,150,97,150,Queen,Bohemian Rhapsody,106
https://charts-static.billboard.com/img/2022/02/50-cent-4gk-in-da-club-znh-180x180.jpg,151,44,151,50 Cent,In Da Club,35
https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,152,104,152,Kanye West,Bound 2,6
https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg,153,102,153,The Chainsmokers & Coldplay,Something Just Like This,93
https://charts-static.billboard.com/img/2013/10/katy-perry-k49-darkhorse-oa0-180x180.jpg,154,154,154,Katy Perry Featuring Juicy J,Dark Horse,1
https://charts-static.billboard.com/img/2010/01/eminem-6zg-lose-yourself-48q-180x180.jpg,155,25,155,Eminem,Lose Yourself,36
https://charts-static.billboard.com/img/2021/03/ckay-eoq-180x180.jpg,156,2,156,CKay,Love Nwantiti (Ah Ah Ah),57
https://charts-static.billboard.com/img/2015/05/bia-1yq-180x180.jpg,157,91,157,Luciano & Aitch Featuring BIA,Bamba,3
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,158,114,158,Rosa Walton,I Really Want To Stay At Your House,3
https://charts-static.billboard.com/img/2013/10/a-ha-zrv-takeonme-c5b-180x180.jpg,159,139,159,a-ha,Take On Me,58
https://charts-static.billboard.com/img/2021/05/olivia-rodrigo-3wl-good-4-u-ysx-180x180.jpg,160,1,160,Olivia Rodrigo,Good 4 U,74
https://charts-static.billboard.com/img/2021/11/taylor-swift-5wo-all-too-well-taylors-version-k7x-180x180.jpg,161,1,161,Taylor Swift,All Too Well (Taylor's Version),30
https://charts-static.billboard.com/img/2011/02/the-police-yp0-every-breath-you-take-4oi-180x180.jpg,162,107,162,The Police,Every Breath You Take,31
https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg,163,123,163,J Balvin & Bad Bunny,La Cancion,26
https://charts-static.billboard.com/img/2020/11/bad-bunny-c3m-dakiti-wxy-180x180.jpg,164,1,164,Bad Bunny & Jhay Cortez,Dakiti,102
https://charts-static.billboard.com/img/2012/07/eminem-6zg-the-real-slim-shady-cbz-180x180.jpg,165,59,165,Eminem,The Real Slim Shady,41
https://charts-static.billboard.com/img/2021/12/rauw-alejandro-rbn-desesperados-n5s-180x180.jpg,166,13,166,Rauw Alejandro & Chencho Corleone,Desesperados,43
https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg,167,7,167,Bad Bunny,Despues de La Playa,23
https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg,168,11,168,Doja Cat,Woman,65
https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg,169,30,169,Dua Lipa,Don't Start Now,110
https://charts-static.billboard.com/img/2013/06/cole-swindell-2q7-180x180.jpg,170,81,170,Cole Swindell,She Had Me At Heads Carolina,16
https://charts-static.billboard.com/img/2017/11/lilbaby-kyx-180x180.jpg,171,169,171,Lil Baby,Freestyle,6
https://charts-static.billboard.com/img/2013/08/vance-joy-578-180x180.jpg,172,130,172,Vance Joy,Riptide,65
https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif,173,173,173,natori,Overdose,1
https://charts-static.billboard.com/img/2005/08/journey-0b3-dontstopbelievin-mvt-180x180.jpg,174,125,174,Journey,Don't Stop Believin',91
https://charts-static.billboard.com/img/2022/07/the-black-eyed-peas-f5s-dont-you-worry-sb1-180x180.jpg,175,103,175,"Black Eyed Peas, Shakira + David Guetta",Don't You Worry,10
https://charts-static.billboard.com/img/2012/12/bruno-mars-va7-180x180.jpg,176,157,176,Bruno Mars,When I Was Your Man,7
https://charts-static.billboard.com/img/2006/07/taylor-swift-5wo-180x180.jpg,177,157,177,Taylor Swift,Blank Space,18
https://charts-static.billboard.com/img/2022/07/feid-ug7-normal-pn7-180x180.jpg,178,75,178,Feid,Normal,13
https://charts-static.billboard.com/img/2017/07/cigarettes-after-sex-0oe-180x180.jpg,179,174,179,Cigarettes After Sex,Apocalypse,3
https://charts-static.billboard.com/img/2011/05/fleetwood-mac-fe3-dreams-jvb-180x180.jpg,180,10,180,Fleetwood Mac,Dreams,105
https://charts-static.billboard.com/img/2004/12/the-killers-7vb-mrbrightside-7k3-180x180.jpg,181,115,181,The Killers,Mr. Brightside,68
https://charts-static.billboard.com/img/1971/10/michael-jackson-9to-180x180.jpg,182,137,182,Michael Jackson,Billie Jean,33
https://charts-static.billboard.com/img/2016/12/steve-lacy-d2o-180x180.jpg,183,159,183,Steve Lacy,Static,5
https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg,184,54,184,Billie Eilish,Bad Guy,107
https://charts-static.billboard.com/img/2022/10/wisin-yandel-cfr-besosmoja2-9u8-180x180.jpg,185,178,185,Wisin & Yandel + Rosalia,Besos Moja2,2
https://charts-static.billboard.com/img/2005/02/keane-flj-106x106.jpg,186,186,186,Keane,Somewhere Only We Know,2
https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg,187,132,187,Eagles,Hotel California,94
https://charts-static.billboard.com/img/2019/06/girl-in-red-j8w-180x180.jpg,188,154,188,girl in red,We Fell In Love In October,2
https://charts-static.billboard.com/img/2021/06/bad-bunny-c3m-yonaguni-zqi-180x180.jpg,189,3,189,Bad Bunny,Yonaguni,71
https://charts-static.billboard.com/img/2012/12/ac-dc-3eb-180x180.jpg,190,162,190,AC/DC,Thunderstruck,69
https://charts-static.billboard.com/img/2021/01/olivia-rodrigo-3wl-drivers-license-w08-180x180.jpg,191,1,191,Olivia Rodrigo,Drivers License,92
https://charts-static.billboard.com/img/2021/10/coldplay-bm3-my-universe-68v-180x180.jpg,192,1,192,Coldplay x BTS,My Universe,55
https://charts-static.billboard.com/img/2014/05/ajr-yr7-180x180.jpg,193,189,193,AJR,World's Smallest Violin,6
https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg,194,167,194,Imagine Dragons,Thunder,42
https://charts-static.billboard.com/img/2022/09/mrkitty-1g9-180x180.jpg,195,195,195,Mr.Kitty,After Dark,1
https://charts-static.billboard.com/img/2021/03/silk-sonic-bruno-mars-and-anderson-paak-qd5-leave-the-door-open-ife-180x180.jpg,196,2,196,Silk Sonic (Bruno Mars & Anderson .Paak),Leave The Door Open,71
https://charts-static.billboard.com/img/2022/05/imanbek-000-belly-dancer-voa-180x180.jpg,197,132,197,Imanbek & BYOR,Belly Dancer,16
https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg,198,103,198,Ed Sheeran,Thinking Out Loud,73
https://charts-static.billboard.com/img/2022/07/yunggravy-oae-bettygetmoney-e19-180x180.jpg,199,81,199,Yung Gravy,Betty (Get Money),14
